indicator_m,route_k,reference_scenario,comparison_scenario,solar_value,comparison_value,C_m_k_ratio,relative_difference_pct
land_use_ha_gwh_served,route_a,solar,fusion,3.81644,0.13863,0.03632442800096425,-96.36755719990357
land_use_ha_gwh_served,route_b,solar,fusion,0.427532,0.093547,0.2188070132761992,-78.11929867238008
land_use_ha_gwh_served,route_c,solar,fusion,3.441722,0.149929,0.04356220519844427,-95.64377948015557
land_use_ha_gwh_served,route_avg,solar,fusion,2.561898,0.12736866666666669,0.04971652527410018,-95.02834747258997
levelised_delivered_electricity_cost,route_a,solar,fusion,974.940072,714.466837,0.7328315426960931,-26.71684573039069
levelised_delivered_electricity_cost,route_b,solar,fusion,358.589178,289.213967,0.8065328926351482,-19.346710736485186
levelised_delivered_electricity_cost,route_c,solar,fusion,475.544045,391.878199,0.8240628878025379,-17.593711219746215
levelised_delivered_electricity_cost,route_avg,solar,fusion,603.0244316666667,465.1863343333334,0.7714220351696696,-22.857796483033045
cost_passenger_km,route_a,solar,fusion,0.034701,0.025969,0.7483646004437912,-25.163539955620884
cost_passenger_km,route_b,solar,fusion,0.007958,0.00644,0.8092485549132948,-19.075144508670512
cost_passenger_km,route_c,solar,fusion,0.020557,0.016891,0.8216665855912828,-17.83334144087172
cost_passenger_km,route_avg,solar,fusion,0.021071999999999997,0.01643333333333333,0.7798658567451279,-22.01341432548722
lifecycle_emissions_co2,route_a,solar,fusion,3930323.171616,2514425.524021,0.6397503243956307,-36.024967560436934
lifecycle_emissions_co2,route_b,solar,fusion,21513734.317149,17541361.068063,0.81535640486554,-18.46435951344601
lifecycle_emissions_co2,route_c,solar,fusion,21920852.803541,16331589.249323,0.7450252686649519,-25.497473133504805
lifecycle_emissions_co2,route_avg,solar,fusion,15788303.430768667,12129125.280469,0.7682348729649722,-23.176512703502787
total_simulation_period_cost,route_a,solar,fusion,20979581.554597,15755275.063485,0.7509813778927701,-24.90186221072299
total_simulation_period_cost,route_b,solar,fusion,62432560.280405,50479924.993383,0.80855125541322,-19.144874458678
total_simulation_period_cost,route_c,solar,fusion,44322662.870416,36440087.994057,0.8221547541174388,-17.784524588256122
total_simulation_period_cost,route_avg,solar,fusion,42578268.23513933,34225096.016975,0.8038160647578767,-19.618393524212337
relised_capacity_factor,route_a,solar,fusion,0.135352,0.712292,5.262515515101366,426.25155151013655
relised_capacity_factor,route_b,solar,fusion,0.230941,0.714442,3.093612654314305,209.36126543143052
relised_capacity_factor,route_c,solar,fusion,0.193689,0.692549,3.575572180144458,257.5572180144458
relised_capacity_factor,route_avg,solar,fusion,0.18666066666666667,0.7064276666666668,3.7845555750006254,278.4555575000625
grid_import_share,route_a,solar,fusion,0.041269,0.019587,0.47461775182340254,-52.53822481765974
grid_import_share,route_b,solar,fusion,0.11806,0.029351,0.24861087582585126,-75.13891241741487
grid_import_share,route_c,solar,fusion,0.025958,0.021397,0.8242930888358118,-17.57069111641883
grid_import_share,route_avg,solar,fusion,0.061762333333333336,0.023444999999999997,0.3796002957573925,-62.03997042426075
additional_power_system_land_requirement,route_a,solar,fusion,81.502433,2.873513,0.03525677570876933,-96.47432242912306
additional_power_system_land_requirement,route_b,solar,fusion,76.628107,17.467571,0.2279525318301286,-77.20474681698714
additional_power_system_land_requirement,route_c,solar,fusion,335.097225,14.779272,0.04410442969200954,-95.58955703079904
additional_power_system_land_requirement,route_avg,solar,fusion,164.409255,11.706785333333334,0.07120514799080706,-92.8794852009193
