indicator_m,route_k,reference_scenario,comparison_scenario,solar_value,comparison_value,C_m_k_ratio,relative_difference_pct
land_use_ha_gwh_served,route_a,solar,nuclear,3.81644,0.042245,0.011069216337738835,-98.89307836622612
land_use_ha_gwh_served,route_b,solar,nuclear,0.427532,0.027705,0.0648021668553465,-93.51978331446536
land_use_ha_gwh_served,route_c,solar,nuclear,3.441722,0.054817,0.015927201557824833,-98.40727984421753
land_use_ha_gwh_served,route_avg,solar,nuclear,2.561898,0.041588999999999994,0.01623366738254216,-98.37663326174578
levelised_delivered_electricity_cost,route_a,solar,nuclear,974.940072,822.552443,0.8436953886946192,-15.630461130538079
levelised_delivered_electricity_cost,route_b,solar,nuclear,358.589178,357.944318,0.9982016746751906,-0.17983253248094236
levelised_delivered_electricity_cost,route_c,solar,nuclear,475.544045,487.891998,1.0259659502202367,2.5965950220236738
levelised_delivered_electricity_cost,route_avg,solar,nuclear,603.0244316666667,556.1295863333334,0.9222339214288163,-7.776607857118364
cost_passenger_km,route_a,solar,nuclear,0.034701,0.029835,0.8597734935592634,-14.022650644073664
cost_passenger_km,route_b,solar,nuclear,0.007958,0.008025,1.008419200804222,0.8419200804222084
cost_passenger_km,route_c,solar,nuclear,0.020557,0.021142,1.028457459746072,2.8457459746072007
cost_passenger_km,route_avg,solar,nuclear,0.021071999999999997,0.019667333333333332,0.9333396608453557,-6.666033915464434
lifecycle_emissions_co2,route_a,solar,nuclear,3930323.171616,2370608.395937,0.6031586443214275,-39.68413556785725
lifecycle_emissions_co2,route_b,solar,nuclear,21513734.317149,17284220.748398,0.8034040252426295,-19.65959747573705
lifecycle_emissions_co2,route_c,solar,nuclear,21920852.803541,17432973.490514,0.7952689453622876,-20.473105463771233
lifecycle_emissions_co2,route_avg,solar,nuclear,15788303.430768667,12362600.878283,0.783022756846086,-21.697724315391397
total_simulation_period_cost,route_a,solar,nuclear,20979581.554597,18115137.520938,0.8634651493784752,-13.653485062152487
total_simulation_period_cost,route_b,solar,nuclear,62432560.280405,62839526.069048,1.0065184862964964,0.6518486296496353
total_simulation_period_cost,route_c,solar,nuclear,44322662.870416,45631283.639938,1.0295248679743803,2.9524867974380213
total_simulation_period_cost,route_avg,solar,nuclear,42578268.23513933,42195315.743308,0.9910059166869711,-0.8994083313028837
relised_capacity_factor,route_a,solar,nuclear,0.135352,0.810491,5.988023819374667,498.8023819374667
relised_capacity_factor,route_b,solar,nuclear,0.230941,0.812549,3.5184267843301966,251.8426784330196
relised_capacity_factor,route_c,solar,nuclear,0.193689,0.768277,3.9665494684778175,296.65494684778173
relised_capacity_factor,route_avg,solar,nuclear,0.18666066666666667,0.7971056666666666,4.270346189698954,327.0346189698954
grid_import_share,route_a,solar,nuclear,0.041269,0.036378,0.88148489180741,-11.851510819259007
grid_import_share,route_b,solar,nuclear,0.11806,0.05225,0.44257157377604606,-55.74284262239539
grid_import_share,route_c,solar,nuclear,0.025958,0.04924,1.896910393712921,89.69103937129209
grid_import_share,route_avg,solar,nuclear,0.061762333333333336,0.045956,0.7440781058573995,-25.592189414260048
additional_power_system_land_requirement,route_a,solar,nuclear,81.502433,0.994795,0.01220570924551418,-98.77942907544859
additional_power_system_land_requirement,route_b,solar,nuclear,76.628107,4.885216,0.06375227303996953,-93.62477269600305
additional_power_system_land_requirement,route_c,solar,nuclear,335.097225,5.339337,0.015933695064171305,-98.40663049358287
additional_power_system_land_requirement,route_avg,solar,nuclear,164.409255,3.7397826666666667,0.022746789203969487,-97.72532107960305
