metric,scenario,route_median,display_as_percent
capacity_factor_realised,solar,19.3689,True
capacity_factor_realised,nuclear,81.0491,True
capacity_factor_realised,fusion,71.2292,True
generation_capacity_mw,solar,80.0,False
generation_capacity_mw,nuclear,20.0,False
generation_capacity_mw,fusion,30.0,False
generation_mwh,solar,161843.447618,False
generation_mwh,nuclear,134602.065229,False
generation_mwh,fusion,182001.759406,False
external_demand_mwh,solar,95604.613914,False
external_demand_mwh,nuclear,95604.613914,False
external_demand_mwh,fusion,95604.613914,False
grid_import_share,solar,4.1269,True
grid_import_share,nuclear,4.9239999999999995,True
grid_import_share,fusion,2.1397,True
electricity_service_ratio,solar,100.0,True
electricity_service_ratio,nuclear,100.0,True
electricity_service_ratio,fusion,100.0,True
energy_not_served_mwh,solar,0.0,False
energy_not_served_mwh,nuclear,0.0,False
energy_not_served_mwh,fusion,0.0,False
on_time_departure_ratio,solar,100.0,True
on_time_departure_ratio,nuclear,100.0,True
on_time_departure_ratio,fusion,100.0,True
total_cost_eur,solar,44322662.870416,False
total_cost_eur,nuclear,45631283.639938,False
total_cost_eur,fusion,36440087.994057,False
levelized_delivered_electricity_cost_eur_per_mwh,solar,475.544045,False
levelized_delivered_electricity_cost_eur_per_mwh,nuclear,487.891998,False
levelized_delivered_electricity_cost_eur_per_mwh,fusion,391.878199,False
cost_eur_per_passenger_km,solar,0.020557,False
cost_eur_per_passenger_km,nuclear,0.021142,False
cost_eur_per_passenger_km,fusion,0.016891,False
lifecycle_emissions_kgco2e,solar,21513734.317149,False
lifecycle_emissions_kgco2e,nuclear,17284220.748398,False
lifecycle_emissions_kgco2e,fusion,16331589.249323,False
emissions_gco2e_per_passenger_km,solar,6.447983,False
emissions_gco2e_per_passenger_km,nuclear,3.848179,False
emissions_gco2e_per_passenger_km,fusion,4.065878,False
land_use_ha,solar,81.502433,False
land_use_ha,nuclear,4.885216,False
land_use_ha,fusion,14.779272,False
land_use_ha_per_gwh_served,solar,3.441722,False
land_use_ha_per_gwh_served,nuclear,0.042245,False
land_use_ha_per_gwh_served,fusion,0.13863,False
