time_period,scenario,relative_to_solar,relative_to_solar_p05,relative_to_solar_p95,cumulative_advantage,cumulative_advantage_p05,cumulative_advantage_p95
0,nuclear,0.150027,-0.075736,0.395225,0.150027,-0.075736,0.395225
1,nuclear,0.150027,-0.075736,0.395225,0.300053,-0.151472,0.790449
2,nuclear,0.165786,-0.049048,0.410767,0.465839,-0.200519,1.201216
3,nuclear,0.168935,-0.073866,0.440276,0.634774,-0.274385,1.641492
4,nuclear,0.175621,-0.049170,0.412213,0.810395,-0.323556,2.053705
5,nuclear,0.173545,-0.191760,0.412554,0.983940,-0.515316,2.466259
6,nuclear,0.152422,-0.182406,0.379867,1.136363,-0.697722,2.846127
7,nuclear,0.152676,-0.171417,0.369381,1.289038,-0.869139,3.215508
8,nuclear,0.175109,-0.185651,0.408253,1.464147,-1.054790,3.623761
9,nuclear,0.173896,-0.171158,0.390092,1.638042,-1.225948,4.013853
10,nuclear,0.173589,-0.202133,0.421691,1.811631,-1.428081,4.435544
11,nuclear,0.173772,-0.205384,0.424738,1.985403,-1.633466,4.860282
12,nuclear,0.172530,-0.172192,0.391723,2.157933,-1.805658,5.252004
13,nuclear,0.152024,-0.163990,0.362674,2.309957,-1.969647,5.614678
14,nuclear,0.152390,-0.174672,0.371347,2.462347,-2.144319,5.986025
15,nuclear,0.174008,-0.206306,0.431480,2.636354,-2.350625,6.417506
16,nuclear,0.173763,-0.197184,0.415096,2.810117,-2.547809,6.832602
17,nuclear,0.171589,-0.217721,0.435987,2.981706,-2.765530,7.268589
18,nuclear,0.169888,-0.185648,0.412648,3.151594,-2.951178,7.681237
19,nuclear,0.174272,-0.206314,0.419897,3.325866,-3.157491,8.101134
20,nuclear,0.150948,-0.181502,0.366167,3.476814,-3.338993,8.467301
21,nuclear,0.151237,-0.183826,0.371808,3.628051,-3.522818,8.839109
22,nuclear,0.171539,-0.181154,0.395510,3.799590,-3.703972,9.234619
23,nuclear,0.175058,-0.053594,0.404349,3.974648,-3.757566,9.638968
24,nuclear,0.173754,-0.098240,0.451513,4.148402,-3.855807,10.090481
25,nuclear,0.171731,-0.041120,0.399943,4.320133,-3.896927,10.490424
26,nuclear,0.175774,-0.053534,0.417482,4.495907,-3.950460,10.907906
27,nuclear,0.154922,-0.042916,0.382925,4.650829,-3.993376,11.290830
28,nuclear,0.158417,-0.053486,0.381384,4.809246,-4.046862,11.672214
29,nuclear,0.175251,-0.046526,0.400177,4.984497,-4.093388,12.072391
30,nuclear,0.175634,-0.035207,0.402724,5.160131,-4.128595,12.475115
31,nuclear,0.172793,-0.043053,0.414157,5.332924,-4.171649,12.889272
32,nuclear,0.177282,-0.032006,0.399300,5.510206,-4.203654,13.288572
33,nuclear,0.177509,-0.026770,0.397142,5.687715,-4.230424,13.685713
34,nuclear,0.151026,-0.029540,0.366568,5.838741,-4.259964,14.052282
35,nuclear,0.154798,-0.045849,0.388377,5.993539,-4.305813,14.440659
36,nuclear,0.176549,-0.068926,0.420513,6.170088,-4.374740,14.861172
37,nuclear,0.175143,-0.044744,0.407690,6.345231,-4.419483,15.268862
38,nuclear,0.173475,-0.063783,0.436128,6.518706,-4.483266,15.704990
39,nuclear,0.176327,-0.057858,0.426010,6.695033,-4.541124,16.130999
40,nuclear,0.174276,-0.048450,0.410594,6.869309,-4.589574,16.541593
41,nuclear,0.153569,-0.038633,0.375499,7.022878,-4.628208,16.917093
42,nuclear,0.148870,-0.053104,0.383780,7.171748,-4.681312,17.300872
43,nuclear,0.171562,-0.065292,0.419554,7.343309,-4.746604,17.720426
44,nuclear,0.176555,-0.050338,0.410232,7.519864,-4.796941,18.130659
45,nuclear,0.174315,-0.058663,0.425956,7.694179,-4.855605,18.556615
46,nuclear,0.173982,-0.152308,0.397772,7.868160,-5.007912,18.954386
47,nuclear,0.172581,-0.178786,0.422685,8.040741,-5.186698,19.377071
48,nuclear,0.153679,-0.149337,0.363337,8.194421,-5.336035,19.740408
49,nuclear,0.150409,-0.180911,0.379415,8.344830,-5.516946,20.119823
50,nuclear,0.170229,-0.251368,0.429400,8.515058,-5.768314,20.549223
51,nuclear,0.172151,-0.212620,0.440370,8.687209,-5.980934,20.989593
52,nuclear,0.174347,-0.211242,0.396464,8.861556,-6.192176,21.386057
53,nuclear,0.171745,-0.206622,0.426431,9.033301,-6.398798,21.812488
54,nuclear,0.175289,-0.191336,0.413371,9.208590,-6.590134,22.225859
55,nuclear,0.149615,-0.213753,0.364891,9.358206,-6.803887,22.590750
56,nuclear,0.150250,-0.187435,0.366856,9.508455,-6.991322,22.957606
57,nuclear,0.174278,-0.219609,0.443538,9.682734,-7.210931,23.401144
58,nuclear,0.172568,-0.184090,0.390418,9.855302,-7.395022,23.791562
59,nuclear,0.174554,-0.214691,0.443931,10.029856,-7.609712,24.235493
60,nuclear,0.110329,-0.230954,0.302078,10.140185,-7.840666,24.537572
61,nuclear,0.108279,-0.275633,0.303712,10.248464,-8.116299,24.841284
62,nuclear,0.103726,-0.221621,0.286002,10.352191,-8.337920,25.127285
63,nuclear,0.099800,-0.226470,0.289704,10.451991,-8.564390,25.416990
64,nuclear,0.103168,-0.213635,0.286465,10.555159,-8.778025,25.703455
65,nuclear,0.109238,-0.242076,0.314251,10.664397,-9.020100,26.017706
66,nuclear,0.108162,-0.212516,0.290164,10.772559,-9.232616,26.307870
67,nuclear,0.110196,-0.255440,0.332718,10.882755,-9.488056,26.640588
68,nuclear,0.109064,-0.216866,0.295944,10.991819,-9.704922,26.936532
69,nuclear,0.103908,-0.289864,0.304247,11.095727,-9.994786,27.240779
70,nuclear,0.103377,-0.270355,0.283416,11.199104,-10.265142,27.524195
71,nuclear,0.104670,-0.165590,0.301510,11.303774,-10.430731,27.825705
72,nuclear,0.110431,-0.207887,0.310701,11.414205,-10.638618,28.136406
73,nuclear,0.110685,-0.213802,0.318579,11.524890,-10.852421,28.454985
74,nuclear,0.107580,-0.213220,0.298554,11.632470,-11.065641,28.753540
75,nuclear,0.108687,-0.189680,0.277221,11.741157,-11.255321,29.030761
76,nuclear,0.102680,-0.174897,0.283821,11.843838,-11.430217,29.314582
77,nuclear,0.101725,-0.190052,0.292602,11.945563,-11.620270,29.607184
78,nuclear,0.104539,-0.213727,0.295591,12.050101,-11.833997,29.902775
79,nuclear,0.108611,-0.215070,0.314205,12.158712,-12.049067,30.216980
80,nuclear,0.105007,-0.219802,0.312591,12.263719,-12.268869,30.529571
81,nuclear,0.108796,-0.225959,0.318722,12.372515,-12.494828,30.848293
82,nuclear,0.108121,-0.219858,0.312919,12.480635,-12.714686,31.161212
83,nuclear,0.101433,-0.178635,0.288694,12.582068,-12.893321,31.449906
84,nuclear,0.102178,-0.185603,0.289586,12.684247,-13.078924,31.739492
85,nuclear,0.102988,-0.217961,0.309481,12.787234,-13.296885,32.048973
86,nuclear,0.108910,-0.222037,0.311562,12.896144,-13.518921,32.360536
87,nuclear,0.108769,-0.278900,0.290849,13.004912,-13.797821,32.651384
88,nuclear,0.110362,-0.219087,0.313674,13.115274,-14.016908,32.965059
89,nuclear,0.110160,-0.222617,0.298845,13.225434,-14.239524,33.263904
90,nuclear,0.102891,-0.253610,0.282822,13.328325,-14.493134,33.546726
91,nuclear,0.101897,-0.338661,0.266169,13.430223,-14.831795,33.812896
92,nuclear,0.102367,-0.308574,0.306892,13.532590,-15.140370,34.119788
93,nuclear,0.107637,-0.318846,0.320823,13.640227,-15.459215,34.440611
94,nuclear,0.108918,-0.127347,0.311057,13.749145,-15.586562,34.751668
95,nuclear,0.108685,-0.100822,0.286033,13.857830,-15.687384,35.037701
96,nuclear,0.109839,-0.121665,0.277652,13.967669,-15.809049,35.315353
97,nuclear,0.103847,-0.146683,0.277262,14.071516,-15.955732,35.592615
98,nuclear,0.101534,-0.148860,0.280220,14.173050,-16.104592,35.872836
99,nuclear,0.102003,-0.184802,0.297032,14.275053,-16.289394,36.169868
100,nuclear,0.108676,-0.253595,0.320360,14.383728,-16.542989,36.490228
101,nuclear,0.110449,-0.205756,0.327789,14.494178,-16.748745,36.818017
102,nuclear,0.109387,-0.205052,0.323007,14.603564,-16.953797,37.141024
103,nuclear,0.110948,-0.201727,0.315625,14.714512,-17.155524,37.456649
104,nuclear,0.104094,-0.148819,0.276502,14.818605,-17.304344,37.733151
105,nuclear,0.103115,-0.154996,0.282020,14.921720,-17.459339,38.015171
106,nuclear,0.103547,-0.147572,0.321933,15.025267,-17.606911,38.337104
107,nuclear,0.109805,-0.118486,0.309612,15.135072,-17.725397,38.646716
108,nuclear,0.110234,-0.114408,0.298009,15.245306,-17.839805,38.944726
109,nuclear,0.110545,-0.237886,0.333412,15.355851,-18.077691,39.278138
110,nuclear,0.108198,-0.334301,0.323958,15.464049,-18.411992,39.602096
111,nuclear,0.104305,-0.260485,0.268669,15.568353,-18.672477,39.870765
112,nuclear,0.102279,-0.285728,0.284168,15.670633,-18.958205,40.154933
113,nuclear,0.102939,-0.322925,0.321252,15.773572,-19.281129,40.476185
114,nuclear,0.110194,-0.185751,0.301892,15.883766,-19.466880,40.778077
115,nuclear,0.110979,-0.182197,0.291721,15.994745,-19.649077,41.069797
116,nuclear,0.109530,-0.210445,0.316537,16.104275,-19.859523,41.386334
117,nuclear,0.110681,-0.195650,0.309697,16.214956,-20.055172,41.696032
118,nuclear,0.104243,-0.288545,0.301867,16.319199,-20.343717,41.997899
119,nuclear,0.103805,-0.201680,0.292848,16.423004,-20.545397,42.290747
120,nuclear,0.103998,-0.208556,0.299751,16.527002,-20.753953,42.590498
121,nuclear,0.108157,-0.246360,0.330478,16.635159,-21.000313,42.920976
122,nuclear,0.110643,-0.212127,0.299988,16.745802,-21.212440,43.220964
123,nuclear,0.109998,-0.197614,0.292703,16.855800,-21.410054,43.513667
124,nuclear,0.108886,-0.190884,0.280723,16.964686,-21.600937,43.794390
125,nuclear,0.102594,-0.194642,0.291729,17.067280,-21.795579,44.086118
126,nuclear,0.102931,-0.203932,0.294684,17.170211,-21.999512,44.380803
127,nuclear,0.104847,-0.222073,0.314708,17.275058,-22.221584,44.695511
128,nuclear,0.111188,-0.200908,0.292367,17.386246,-22.422492,44.987878
129,nuclear,0.110881,-0.209158,0.311826,17.497127,-22.631651,45.299704
130,nuclear,0.111510,-0.233601,0.324599,17.608637,-22.865251,45.624304
131,nuclear,0.111232,-0.230611,0.317611,17.719869,-23.095862,45.941915
132,nuclear,0.103110,-0.205480,0.296516,17.822979,-23.301342,46.238431
133,nuclear,0.102712,-0.191760,0.286855,17.925691,-23.493102,46.525286
134,nuclear,0.105068,-0.215840,0.300173,18.030759,-23.708942,46.825458
135,nuclear,0.106473,-0.164997,0.318603,18.137232,-23.873938,47.144061
136,nuclear,0.110445,-0.227341,0.313351,18.247677,-24.101279,47.457413
137,nuclear,0.111276,-0.257515,0.329901,18.358952,-24.358794,47.787314
138,nuclear,0.109648,-0.203651,0.293962,18.468600,-24.562444,48.081276
139,nuclear,0.101556,-0.215472,0.278242,18.570156,-24.777916,48.359518
140,nuclear,0.105669,-0.180410,0.281432,18.675826,-24.958326,48.640950
141,nuclear,0.102422,-0.228902,0.303038,18.778248,-25.187228,48.943987
142,nuclear,0.107898,-0.214261,0.299292,18.886145,-25.401488,49.243279
143,nuclear,0.111866,-0.142953,0.326992,18.998012,-25.544442,49.570271
144,nuclear,0.110113,-0.122352,0.304436,19.108125,-25.666793,49.874707
145,nuclear,0.109821,-0.244594,0.315782,19.217946,-25.911387,50.190490
146,nuclear,0.102928,-0.311312,0.282857,19.320874,-26.222699,50.473347
147,nuclear,0.099703,-0.392584,0.286829,19.420577,-26.615283,50.760177
148,nuclear,0.102506,-0.424501,0.311279,19.523083,-27.039784,51.071456
149,nuclear,0.106160,-0.418558,0.305191,19.629243,-27.458342,51.376647
150,nuclear,0.106963,-0.326506,0.298110,19.736206,-27.784848,51.674757
151,nuclear,0.106548,-0.344086,0.307605,19.842754,-28.128934,51.982362
152,nuclear,0.110963,-0.307417,0.285656,19.953717,-28.436350,52.268018
153,nuclear,0.115767,-0.301680,0.314597,20.069484,-28.738031,52.582615
154,nuclear,0.121620,-0.310231,0.313631,20.191104,-29.048261,52.896246
155,nuclear,0.115772,-0.328738,0.316137,20.306876,-29.376999,53.212383
156,nuclear,0.116754,-0.333507,0.320694,20.423631,-29.710506,53.533077
157,nuclear,0.111895,-0.360253,0.341846,20.535525,-30.070759,53.874923
158,nuclear,0.114759,-0.348179,0.333136,20.650284,-30.418938,54.208059
159,nuclear,0.114831,-0.319169,0.308264,20.765115,-30.738106,54.516323
160,nuclear,0.120072,-0.303862,0.310600,20.885187,-31.041968,54.826923
161,nuclear,0.123111,-0.305355,0.316125,21.008298,-31.347322,55.143049
162,nuclear,0.115832,-0.335428,0.331280,21.124131,-31.682751,55.474329
163,nuclear,0.118488,-0.317181,0.311189,21.242618,-31.999932,55.785518
164,nuclear,0.117160,-0.335532,0.331498,21.359778,-32.335464,56.117016
165,nuclear,0.118647,-0.403740,0.362260,21.478426,-32.739204,56.479276
166,nuclear,0.118086,-0.299879,0.337108,21.596512,-33.039083,56.816384
167,nuclear,0.122968,-0.293348,0.296688,21.719480,-33.332430,57.113072
168,nuclear,0.125073,-0.296708,0.309416,21.844553,-33.629138,57.422488
169,nuclear,0.119067,-0.344611,0.327087,21.963620,-33.973749,57.749574
170,nuclear,0.115762,-0.220628,0.310373,22.079382,-34.194377,58.059948
171,nuclear,0.118080,-0.223357,0.314019,22.197462,-34.417733,58.373967
172,nuclear,0.116399,-0.257382,0.310218,22.313860,-34.675116,58.684185
173,nuclear,0.120639,-0.251986,0.340181,22.434499,-34.927101,59.024366
174,nuclear,0.123370,-0.309966,0.313436,22.557869,-35.237067,59.337802
175,nuclear,0.124640,-0.301347,0.310777,22.682510,-35.538414,59.648579
176,nuclear,0.118098,-0.347072,0.325886,22.800608,-35.885486,59.974465
177,nuclear,0.116919,-0.319132,0.309490,22.917527,-36.204618,60.283954
178,nuclear,0.118181,-0.326211,0.323650,23.035708,-36.530830,60.607604
179,nuclear,0.118753,-0.338086,0.332001,23.154460,-36.868916,60.939605
180,nuclear,0.121300,-0.360238,0.348096,23.275761,-37.229154,61.287701
181,nuclear,0.124367,-0.193066,0.311957,23.400128,-37.422220,61.599658
182,nuclear,0.124706,-0.188247,0.308736,23.524834,-37.610467,61.908395
183,nuclear,0.119454,-0.235365,0.321092,23.644288,-37.845832,62.229486
184,nuclear,0.119105,-0.312416,0.337663,23.763393,-38.158248,62.567149
185,nuclear,0.116166,-0.320203,0.336121,23.879559,-38.478451,62.903271
186,nuclear,0.120268,-0.391164,0.354298,23.999827,-38.869615,63.257568
187,nuclear,0.119763,-0.302782,0.326308,24.119590,-39.172397,63.583876
188,nuclear,0.124643,-0.272558,0.311318,24.244232,-39.444955,63.895193
189,nuclear,0.124263,-0.271596,0.319188,24.368496,-39.716551,64.214382
190,nuclear,0.118100,-0.192979,0.322152,24.486595,-39.909530,64.536534
191,nuclear,0.117366,-0.199221,0.324495,24.603961,-40.108751,64.861029
192,nuclear,0.117526,-0.173738,0.304247,24.721487,-40.282489,65.165275
193,nuclear,0.119028,-0.227690,0.358350,24.840515,-40.510179,65.523625
194,nuclear,0.117866,-0.171950,0.307451,24.958381,-40.682130,65.831076
195,nuclear,0.125453,-0.271087,0.316347,25.083834,-40.953217,66.147423
196,nuclear,0.123181,-0.259156,0.302871,25.207015,-41.212373,66.450293
197,nuclear,0.115985,-0.265996,0.297296,25.322999,-41.478369,66.747589
198,nuclear,0.117325,-0.286470,0.312618,25.440324,-41.764839,67.060207
199,nuclear,0.119305,-0.316534,0.337156,25.559630,-42.081373,67.397363
200,nuclear,0.117777,-0.303682,0.318132,25.677407,-42.385055,67.715495
201,nuclear,0.118261,-0.302328,0.325830,25.795668,-42.687383,68.041326
202,nuclear,0.123313,-0.262788,0.310681,25.918981,-42.950171,68.352006
203,nuclear,0.124586,-0.266144,0.305976,26.043567,-43.216315,68.657983
204,nuclear,0.115474,-0.290920,0.323974,26.159041,-43.507235,68.981957
205,nuclear,0.116820,-0.303666,0.321407,26.275861,-43.810901,69.303364
206,nuclear,0.118278,-0.320379,0.328947,26.394139,-44.131280,69.632311
207,nuclear,0.119843,-0.279534,0.328249,26.513983,-44.410814,69.960560
208,nuclear,0.120187,-0.211459,0.333881,26.634170,-44.622273,70.294441
209,nuclear,0.123259,-0.179132,0.314138,26.757429,-44.801405,70.608580
210,nuclear,0.123541,-0.241317,0.308344,26.880969,-45.042722,70.916924
211,nuclear,0.118487,-0.204472,0.323043,26.999456,-45.247193,71.239966
212,nuclear,0.120136,-0.229617,0.354823,27.119592,-45.476810,71.594789
213,nuclear,0.122076,-0.215896,0.332278,27.241668,-45.692705,71.927067
214,nuclear,0.120894,-0.209009,0.332959,27.362562,-45.901714,72.260026
215,nuclear,0.121308,-0.228297,0.345332,27.483870,-46.130011,72.605358
216,nuclear,0.123334,-0.169074,0.299400,27.607204,-46.299085,72.904758
217,nuclear,0.125174,-0.183784,0.310829,27.732378,-46.482869,73.215586
218,nuclear,0.120456,-0.205149,0.322415,27.852834,-46.688017,73.538001
219,nuclear,0.121572,-0.202114,0.333048,27.974406,-46.890131,73.871049
220,nuclear,0.119132,-0.083928,0.325429,28.093539,-46.974060,74.196478
221,nuclear,0.119045,-0.100223,0.333186,28.212583,-47.074282,74.529664
222,nuclear,0.120563,-0.093710,0.324564,28.333146,-47.167992,74.854228
223,nuclear,0.125358,-0.067360,0.304126,28.458504,-47.235352,75.158353
224,nuclear,0.123623,-0.064968,0.301702,28.582127,-47.300319,75.460055
225,nuclear,0.117131,-0.105919,0.329461,28.699259,-47.406238,75.789516
226,nuclear,0.120728,-0.107049,0.333406,28.819987,-47.513287,76.122921
227,nuclear,0.120064,-0.237596,0.341140,28.940051,-47.750883,76.464061
228,nuclear,0.120414,-0.227534,0.333288,29.060465,-47.978417,76.797350
229,nuclear,0.119125,-0.234605,0.326933,29.179590,-48.213022,77.124283
230,nuclear,0.124600,-0.187686,0.315536,29.304191,-48.400709,77.439819
231,nuclear,0.125031,-0.186777,0.317002,29.429221,-48.587486,77.756820
232,nuclear,0.115713,-0.195503,0.313370,29.544934,-48.782989,78.070190
233,nuclear,0.119362,-0.198630,0.315719,29.664296,-48.981619,78.385909
234,nuclear,0.118522,-0.187981,0.308292,29.782818,-49.169599,78.694201
235,nuclear,0.120092,-0.221724,0.341595,29.902910,-49.391323,79.035795
236,nuclear,0.121064,-0.224949,0.350168,30.023974,-49.616272,79.385963
237,nuclear,0.123861,-0.176088,0.301168,30.147835,-49.792360,79.687131
238,nuclear,0.123962,-0.180652,0.309890,30.271797,-49.973012,79.997021
239,nuclear,0.117697,-0.211869,0.321867,30.389494,-50.184880,80.318888
240,nuclear,0.120396,-0.194775,0.314614,30.509890,-50.379655,80.633502
241,nuclear,0.119744,-0.068754,0.308864,30.629634,-50.448409,80.942366
242,nuclear,0.119266,-0.184538,0.356093,30.748900,-50.632947,81.298458
243,nuclear,0.121369,-0.095448,0.321768,30.870269,-50.728395,81.620227
244,nuclear,0.153046,-0.039841,0.342723,31.023316,-50.768236,81.962950
245,nuclear,0.152909,-0.050897,0.356688,31.176225,-50.819134,82.319638
246,nuclear,0.162393,-0.085526,0.385344,31.338618,-50.904660,82.704981
247,nuclear,0.160747,-0.071796,0.389835,31.499365,-50.976456,83.094816
248,nuclear,0.164092,-0.064672,0.391176,31.663457,-51.041127,83.485992
249,nuclear,0.166652,-0.061243,0.388103,31.830108,-51.102370,83.874095
