time_period,scenario,series_name,average_normalised_score,average_normalised_score_p05,average_normalised_score_p95,routes_used,characteristics_used
0,solar,solar_avg,0.544953,0.391826,0.649312,3,8
0,nuclear,nuclear_avg,0.694980,0.573576,0.787050,3,8
0,fusion,fusion_avg,0.720756,0.589981,0.810808,3,8
1,solar,solar_avg,0.544953,0.391826,0.649312,3,8
1,nuclear,nuclear_avg,0.694980,0.573576,0.787050,3,8
1,fusion,fusion_avg,0.720756,0.589981,0.810808,3,8
2,solar,solar_avg,0.555584,0.407419,0.673304,3,8
2,nuclear,nuclear_avg,0.721370,0.624256,0.818186,3,8
2,fusion,fusion_avg,0.747761,0.649086,0.842619,3,8
3,solar,solar_avg,0.549936,0.375033,0.666596,3,8
3,nuclear,nuclear_avg,0.718871,0.592730,0.815309,3,8
3,fusion,fusion_avg,0.745851,0.621679,0.839171,3,8
4,solar,solar_avg,0.550924,0.399024,0.664900,3,8
4,nuclear,nuclear_avg,0.726545,0.615730,0.811237,3,8
4,fusion,fusion_avg,0.752856,0.643468,0.835548,3,8
5,solar,solar_avg,0.551351,0.391577,0.655398,3,8
5,nuclear,nuclear_avg,0.724896,0.463638,0.804132,3,8
5,fusion,fusion_avg,0.752789,0.629756,0.829784,3,8
6,solar,solar_avg,0.542287,0.411804,0.652705,3,8
6,nuclear,nuclear_avg,0.694709,0.470298,0.791671,3,8
6,fusion,fusion_avg,0.722739,0.617590,0.813525,3,8
7,solar,solar_avg,0.544344,0.414069,0.642490,3,8
7,nuclear,nuclear_avg,0.697020,0.471073,0.783451,3,8
7,fusion,fusion_avg,0.722969,0.620693,0.806861,3,8
8,solar,solar_avg,0.546553,0.409029,0.671021,3,8
8,nuclear,nuclear_avg,0.721661,0.485370,0.817282,3,8
8,fusion,fusion_avg,0.748271,0.650026,0.841391,3,8
9,solar,solar_avg,0.550200,0.417586,0.660064,3,8
9,nuclear,nuclear_avg,0.724096,0.488905,0.807678,3,8
9,fusion,fusion_avg,0.751372,0.654322,0.833278,3,8
10,solar,solar_avg,0.546880,0.392675,0.666198,3,8
10,nuclear,nuclear_avg,0.720468,0.464065,0.814366,3,8
10,fusion,fusion_avg,0.749544,0.633723,0.838941,3,8
11,solar,solar_avg,0.546625,0.387597,0.664413,3,8
11,nuclear,nuclear_avg,0.720397,0.459029,0.812335,3,8
11,fusion,fusion_avg,0.747602,0.625584,0.837876,3,8
12,solar,solar_avg,0.546645,0.413578,0.657992,3,8
12,nuclear,nuclear_avg,0.719175,0.485800,0.805301,3,8
12,fusion,fusion_avg,0.746397,0.648008,0.830738,3,8
13,solar,solar_avg,0.542708,0.419955,0.641089,3,8
13,nuclear,nuclear_avg,0.694731,0.477099,0.782628,3,8
13,fusion,fusion_avg,0.721023,0.539098,0.804667,3,8
14,solar,solar_avg,0.543222,0.418286,0.649242,3,8
14,nuclear,nuclear_avg,0.695612,0.474570,0.789633,3,8
14,fusion,fusion_avg,0.722895,0.537788,0.813436,3,8
15,solar,solar_avg,0.546722,0.390100,0.674273,3,8
15,nuclear,nuclear_avg,0.720730,0.467967,0.821581,3,8
15,fusion,fusion_avg,0.746327,0.532075,0.845030,3,8
16,solar,solar_avg,0.549883,0.395909,0.666995,3,8
16,nuclear,nuclear_avg,0.723646,0.469810,0.811005,3,8
16,fusion,fusion_avg,0.750293,0.633350,0.837201,3,8
17,solar,solar_avg,0.550638,0.375277,0.663579,3,8
17,nuclear,nuclear_avg,0.722227,0.445858,0.811264,3,8
17,fusion,fusion_avg,0.750586,0.614328,0.838414,3,8
18,solar,solar_avg,0.550103,0.405837,0.669143,3,8
18,nuclear,nuclear_avg,0.719991,0.483495,0.818486,3,8
18,fusion,fusion_avg,0.748409,0.649917,0.842200,3,8
19,solar,solar_avg,0.545543,0.398936,0.672869,3,8
19,nuclear,nuclear_avg,0.719816,0.466556,0.818833,3,8
19,fusion,fusion_avg,0.747102,0.643423,0.843318,3,8
20,solar,solar_avg,0.546430,0.415966,0.643108,3,8
20,nuclear,nuclear_avg,0.697378,0.461607,0.782133,3,8
